method,n_shapelets,shapelet_lengths,hidden_dims,dropout,title,accuracy,macro_f1,cm,lr
RandomShapelets+MLP,60,"[5, 10, 15, 20]","(256,128)",0.2,RandomShapelets+MLP,0.8416666666666667,0.8442255576401917,"[[20  0  0  0  0  0]
 [ 0 19  1  0  0  0]
 [ 0  0 20  0  0  0]
 [ 0  0  0 12  7  1]
 [ 0  0  0  5 15  0]
 [ 0  0  0  2  3 15]]",
RandomShapelets+MLP,40,"[5, 10, 15]","(256,128)",0.2,"RandomShapelets+MLP shp={'n_shapelets': 40, 'shapelet_lengths': [5, 10, 15]}",0.8583333333333333,0.858954688158796,"[[20  0  0  0  0  0]
 [ 0 19  1  0  0  0]
 [ 0  0 20  0  0  0]
 [ 0  0  0 15  3  2]
 [ 0  0  0  5 14  1]
 [ 0  0  0  2  3 15]]",0.001
RandomShapelets+MLP,60,"[5, 10, 15, 20]","(256,128)",0.2,"RandomShapelets+MLP shp={'n_shapelets': 60, 'shapelet_lengths': [5, 10, 15, 20]}",0.8416666666666667,0.8442255576401917,"[[20  0  0  0  0  0]
 [ 0 19  1  0  0  0]
 [ 0  0 20  0  0  0]
 [ 0  0  0 12  7  1]
 [ 0  0  0  5 15  0]
 [ 0  0  0  2  3 15]]",0.001
RandomShapelets+MLP,80,"[10, 15, 20]","(256,128)",0.2,"RandomShapelets+MLP shp={'n_shapelets': 80, 'shapelet_lengths': [10, 15, 20]}",0.8583333333333333,0.8610046092604232,"[[20  0  0  0  0  0]
 [ 0 20  0  0  0  0]
 [ 0  0 20  0  0  0]
 [ 0  0  0 13  7  0]
 [ 0  0  0  5 14  1]
 [ 0  0  0  2  2 16]]",0.001
RandomShapelets+MLP,80,"[10, 15, 20]","(128,)",0.2,"RandomShapelets+MLP mlp=(128,) drop=0.2",0.8583333333333333,0.8597953216374269,"[[20  0  0  0  0  0]
 [ 0 20  0  0  0  0]
 [ 0  0 20  0  0  0]
 [ 0  0  0 13  6  1]
 [ 0  0  0  5 14  1]
 [ 0  0  0  2  2 16]]",0.001
RandomShapelets+MLP,80,"[10, 15, 20]","(256, 128)",0.2,"RandomShapelets+MLP mlp=(256, 128) drop=0.2",0.85,0.8542838874680306,"[[20  0  0  0  0  0]
 [ 0 20  0  0  0  0]
 [ 0  0 20  0  0  0]
 [ 0  0  0 13  7  0]
 [ 0  0  0  5 15  0]
 [ 0  0  0  2  4 14]]",0.001
RandomShapelets+MLP,80,"[10, 15, 20]","(256, 128)",0.3,"RandomShapelets+MLP mlp=(256, 128) drop=0.3",0.85,0.8507765269960391,"[[20  0  0  0  0  0]
 [ 0 20  0  0  0  0]
 [ 0  0 20  0  0  0]
 [ 0  0  0 13  6  1]
 [ 0  0  0  5 13  2]
 [ 0  0  0  2  2 16]]",0.0005
